Rank,School,Babcock,PubPriv,Tuition,Enrollment,Acceptance,Retention,Graduation,Type
17,Vanderbilt University,None,Private,42978,12710,14.2,96,92,University
13,Vassar College,Class 1,Private,47890,2406,22.8,97,91,College
167,Virginia Commonwealth University,None,Public,12002,31752,60.2,85,57,University
65,Virginia Military Institute,None,Public,14404,1664,46.3,84,71,College
69,Virginia Tech,None,Public,10930,31087,70.4,92,83,University
176,Virginia Wesleyan College,None,Private,32182,1431,85.8,66,48,College
57,Wabash College,None,Private,35650,906,67,86,73,College
23,Wake Forest University,Class 2,Private,44742,7432,34,94,87,University
167,Warren Wilson College,None,Private,29540,924,72,68,57,College
146,Wartburg College,Class 4,Private,34250,1747,70.4,80,65,College
97,Washington and Jefferson College,Class 2,Private,39710,1429,40.8,85,74,College
14,Washington and Lee University,Class 2,Private,44507,2302,19.5,94,90,College
107,Washington College,None,Private,41120,1557,66.4,84,69,College
128,Washington State University,None,Public,12545,27679,76,83,67,University
14,Washington University in St. Louis St.,Class 1,Private,44841,13952,17.9,97,94,University
7,Wellesley College,Class 1,Private,43554,2481,30.1,96,92,College
141,Wells College,None,Private,35900,NA,62.7,71,59,College
161,Wesleyan College,None,Private,19750,709,50.2,81,48,College
17,Wesleyan University,Class 1,Private,46944,3262,20.9,96,91,College
170,West Virginia University,None,Public,6456,29707,85.1,79,56,University
181,Western Michigan University,None,Public,10355,24598,83.3,74,56,University
115,Westminster College,None,Private,32445,1518,56.3,86,78,College
146,Westminster College,None,Private,21680,1084,71.9,81,70,College
94,Westmont College,None,Private,38510,1355,66,87,78,College
57,Wheaton College,Class 3,Private,30880,3034,68.7,96,90,College
65,Wheaton College,None,Private,45074,1616,64.3,87,82,College
41,Whitman College,Class 2,Private,43500,1539,48.6,94,87,College
126,Whittier College,None,Private,40096,2448,63.6,82,67,College
181,Widener University,None,Private,38028,6238,65.5,72,55,University
61,Willamette University,None,Private,42305,2933,60.4,88,77,College
146,William Jewell College,None,Private,31000,1052,60.9,76,69,College
1,Williams College,Class 1,Private,46600,2106,17,97,96,College
123,Wittenberg University,Class 3,Private,38030,1894,91.2,78,65,College
65,Wofford College,Class 2,Private,35515,1588,62.7,89,84,College
62,Worcester Polytechnic Institute,Class 2,Private,42778,5957,52.6,95,84,University
161,Xavier University of Louisiana,None,Private,20560,3178,63.5,67,47,College
3,Yale University,Class 1,Private,44000,11906,7.1,99,96,University
47,Yeshiva University,None,Private,37600,6753,84,91,89,University
